id,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
465.0,1,2.6777335150271828e-05,0.9999732226648426,4.8296988812076746e-32
466.0,1,9.443115885825652e-17,1.0,2.745391375865273e-68
467.0,2,1.2963219489975335e-18,5.283806734007222e-06,0.9999947161932753
468.0,2,7.535937083061732e-32,3.3967641175705215e-15,1.0
469.0,2,2.9485862630446834e-12,0.00029795739290137263,0.9997020426041594
470.0,1,2.246096892024856e-05,0.999977539031059,1.2973155436513665e-80
471.0,0,0.9999924555433305,7.5444566725306084e-06,8.74751594351442e-24
472.0,1,4.861318398249384e-07,0.9999995138681514,4.761400817110496e-16
473.0,1,2.1555757838498315e-11,0.9999999999784563,1.691240755833838e-69
474.0,1,1.1013373623943082e-15,0.9999994661721704,5.338278420526803e-07
475.0,2,2.161403333659204e-11,1.5443906440863106e-56,0.9999999999783995
476.0,2,1.4154382247043901e-30,4.3165012771600985e-14,0.9999999999999432
477.0,1,0.0005849968604718301,0.9994150031395245,7.347427616827371e-64
478.0,1,3.596089367262732e-13,0.9999988108432057,1.1891564470780031e-06
479.0,1,2.6013038476945603e-23,1.0,1.001661192818547e-27
480.0,0,1.0,1.1087070839721406e-42,1.712757514933336e-52
481.0,0,0.9999999999993747,6.223826894589057e-13,4.0205277871027046e-28
482.0,2,8.190907232576253e-13,1.604892365301364e-20,0.9999999999992042
483.0,1,3.181259713775692e-16,0.9988168057450328,0.001183194254972787
484.0,2,6.887665085188994e-05,0.02324293108327306,0.9766881922659026
485.0,2,6.917499324892924e-39,4.190979041489167e-14,0.9999999999999716
486.0,0,0.9999999999999432,4.0166679651748355e-15,3.6533950463036144e-14
487.0,2,1.5685510570011285e-07,1.0711032040318405e-05,0.9999891321128258
488.0,1,2.2920622168894394e-14,1.0,4.914188287515134e-81
489.0,1,0.0002716557679304385,0.9997283442320734,5.2078360065805786e-104
490.0,1,1.140300621361431e-09,0.999999998859721,1.731932435864746e-107
491.0,2,1.358293332350042e-34,1.0277841165912558e-10,0.9999999998972271
492.0,1,3.338365652142699e-18,1.0,4.972510527921802e-39
493.0,0,0.9999994824454095,5.175545771447376e-07,1.0128050590879468e-73
494.0,2,6.384037684650468e-18,6.272345336649116e-08,0.9999999372765294
495.0,0,1.0,7.606572065793967e-61,1.6744433535118776e-20
496.0,1,2.6312361292278177e-21,1.0,8.493595300329064e-35
497.0,2,1.7160548463963329e-43,2.967606473185699e-34,1.0
498.0,1,2.9663519465811576e-12,0.9999999999970441,1.3122719931301958e-20
499.0,2,6.141884775547345e-32,4.948302900065685e-16,1.0
500.0,1,5.916386981426387e-17,1.0,4.238478763108596e-16
501.0,2,9.837421778941943e-30,1.4311650464439069e-11,0.9999999999856755
502.0,1,1.9344710326530985e-22,1.0,6.390940233904485e-32
503.0,1,5.770396316090258e-05,0.999942296019919,1.6931689857425172e-11
504.0,1,2.475526560925276e-11,0.9999999999752731,2.376970794905008e-53
505.0,1,9.054064770851296e-26,1.0,1.8694886261372458e-14
506.0,0,1.0,3.504249789804564e-20,2.38938921628482e-32
507.0,2,7.050163030314778e-13,1.0760493073549827e-09,0.999999998923272
508.0,2,3.4000143244006005e-26,6.626471050430885e-13,0.9999999999993463
509.0,0,0.9999999998419185,4.8344127016067564e-14,1.5805202529162983e-10
510.0,1,0.006810633038548939,0.9931893667883058,1.7315110726951498e-10
